name,lat,lon,elev,no_sites,Current Conditions,Reservations,Area Amenities,Fees,Open Season,Usage,Restrictions,Closest Towns,Water,Restroom,Passes,Operated By,Information Center,Operational Hours,Busiest Season,Permit Info,Best Season
Adams Fork,46.340045,-121.648708,2600,22,09/13/2017: Closed for the season.  No gate. Primitive camping allowed.,Reservations may be made at www.recreation.gov or calling 1-877-444-6777.,"Accessible,Tent camping,Camping trailer,Picnic tables,Toilets,Drinking  water","Camping: Single Site/,$16, Multi-Site:$30/$35/$45
	Extra Vehicle:$8


This site is operated by Hoodoo Recreation Services.",- 9/10/17,Light,Maximum vehicle length 22' feet. No riding ORVs in camp. See local fishing regulations.,"Randle, WA; Packwood WA",Potable Water,Vault Toilet,"50% discount for single site camping fee with any of these passes: Interagency Senior, Interagency Access, Golden Age, or Golden Access.",Concessionaire,Cowlitz Valley Ranger District,NA,NA,NA,NA
Big Creek,46.73604,-121.970311,1800,26,09/13/2017: Closed for the season.,Reservations may be made at www.recreation.gov or by calling 1-877-444-6777.,"Accessible,Tent camping,Camping trailer,Picnic tables,Toilets,Drinking  water,Parking","Camping: Single Site/$18, Double Site/$30
	Extra Vehicle: $9


This site is operated by Hoodoo Recreation Services.",- 9/10/17,Light-Medium,Maximum vehicle length 24-40 feet.,"Elbe, WA; Packwood, WA",Potable Water,Vault Toilet,"50% discount for single site camping fee with any of these passes: Interagency Senior, Interagency Access, Golden Age, or Golden Access.",Concessionaire,Cowlitz Valley Ranger District,NA,NA,NA,NA
Blue Lake Creek,46.403182,-121.737431,1900,11,11/15/2017: Closed for the season.,Reservations may be made at www.recreation.gov or calling 1-877-444-6777.,"Accessible,Tent camping,Camping trailer,Fee charged for some activities,Picnic tables,Toilets","Camping: Single Site/$12, Multi-Site/$30
	Extra Vehicle:$8


This site is operated by Hoodoo Recreation Services.",- 9/24/15,Light-Medium,Maximum vehicle length is 20-30 feet.,"Randle, WA; Packwood WA",No potable water. Well for handpump is subject to surface water contamination. Water system inactive,Vault Toilet,"50% discount for single site camping fee with any of these passes: Interagency Senior, Interagency Access, Golden Age, or Golden Access.",Concessionaire,Cowlitz Valley Ranger District,NA,NA,NA,NA
Horseshoe Lake,46.3087,-121.5666,4150,11,"09/13/2017: Closed. 
No gate. Primitive camping allowed.","First come, first serve","Tent camping,Camping trailer,Picnic tables,Toilets","Camping: Single Site/$12
	Extra Vehicle:$6


This site is operated by Hoodoo Recreation Services.",- 9/10/17,Light,"Maximum vehicle length is 16 feet.
	Electric motors only allowed on the lake.  Gas powered motors are not allowed on the lake.
	Wilderness regulations apply within Mt. Adams Wilderness.","Randle, WA; Packwood, WA",No,Vault Toilet ,"50% discount for single site camping fee with any of these passes: Interagency Senior, In",Forest Service,Cowlitz Valley Ranger District,NA,NA,NA,NA
Iron Creek,46.427462,-121.985697,1083,80,09/25/2017: Closed for the season.,Reservations may be made at www.recreation.gov or calling 1-877-444-6777.,"Accessible,Picnic tables,Toilets,Drinking  water","Camping: Single Site/$20, Multi-Site/$38
	Extra Vehicle: $10


This site is operated by Hoodoo Recreation Services.",- 9/7/17,Light,Maximum vehicle length is 24-40 feet.,"Randle, WA; Packwood WA",Potable Water,Vault Toilet,"50% discount for single site camping fee with any of these passes: Interagency Senior, Interagency Access, Golden Age, or Golden Access.",Concessionaire,Cowlitz Valley Ranger District See also: Iron Creek Picnic Site,NA,NA,NA,NA
Killen Creek,46.293413,-121.548325,4449,9,09/13/2017: Closed. No gate. Primitive camping allowed.,"First come, first serve",NA,"Camping: $12/night 

Check with Hoodoo Recreation Services for current information.",- 9/10/17,Light,"Maximum vehicle length is 22 feet.
	Wilderness restrictions apply within nearby Mt. Adams Wilderness.","Randle, WA; Packwood, WA; Trout Lake, WA",No,2,"50% discount for single site camping fee with any of these passes: Interagency Senior, Interagency Access, Golden Age, or Golden Access.",Concessionaire,Cowlitz Valley Ranger District,NA,NA,NA,NA
La Wis Wis,46.677323,-121.576059,1243,90,09/25/2017: Closed for the season.,Reservations may be made at www.recreation.gov or calling 1-877-444-6777.,NA,"Camping: Single Site/$20, Multi Site/$38, Group/$90, Extra Vehicle/$10
	Day Use Fee: $5/vehicle


This site is operated by Hoodoo Recreation Services.",- 9/24/17,Medium-Heavy,"14 day stay limit.
	Maximum vehicle length is 18-40 feet.
	Selective fishing gear rules apply.  See Washington Department of Fish and Wildlife Sport Fishing Rules for more information.","Randle, WA; Packwood, WA",Potable Water,Vault ,"50% discount for single site camping fee, or day use fee, with any of these passes: Interagency Senior, Interagency Access, Golden Age, or Golden Access.",Concessionaire,Cowlitz Valley Ranger District,Normally open: Early June through Labor Day Weekend (Weather permitting). Closed during the winter.,NA,NA,NA
Coho Group Camp,46.6775,-121.57638,1243,NA,09/25/2017: Closed for the season.,Reservations can be made at recreation.gov.,NA,"$90/night


This site is operated by Hoodoo Recreation Services.",- 9/24/17,NA,Maximum vehicle length is 24 feet.,"Randle, WA; Packwood, WA",Potable Water,Vault ,NA,NA,Cowlitz Valley Ranger District,NA,NA,NA,NA
North Fork,46.450452,-121.787467,1543,32,09/25/2017: Closed for the season.  A portion of the campground has been decommissioned due to hazards posed by phellinus infection in trees in the area. Reservations through recreation.gov,Reservations may be made at www.recreation.gov or by calling 1-877-444-6777.,NA,"Camping: Single Site/$18, Multi-Site/$34,
	Group Campground: $75/$100
	Extra Vehicle:$9
This site is operated by Hoodoo Recreation Services.",- 9/24/17,Light,Maximum vehicle length is 32 feet.,"Randle, WA; Packwood WA",Potable Water,Vault ,"50% discount for single site camping fee with any of these passes: Interagency Senior, Interagency Access, Golden Age, or Golden Access.",Concessionaire,Cowlitz Valley Ranger District,NA,NA,NA,NA
Olallie Lake,46.290757,-121.622232,4252,5,3/20/2018: Closed for the season until early Summer. No gate. Primitive camping allowed.,"First come, first serve",NA,"Camping: Single Site/$12
	Extra Vehicle: $6


This site is operated by Hoodoo Recreation Services.",- 9/24/17,Light,Maximum vehicle length is 22 feet.,"Randle, WA; Packwood, WA",No,Vault ,NA,Concessionaire,Cowlitz Valley Ranger District,NA,NA,NA,NA
