name,lat,lon,elev,no_sites,Reservations,Fees,Open Season,Restrictions,Water,Restroom,Operated By,Information Center,url,Usage,Area Amenities,Closest Towns,Passes,Permit Info,Current Conditions,restroom2,water2
Big River Campground/Big River Group,43.81725,-121.4967,4180,10,"Reservations can be made online through Recreation.gov or by calling toll free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). For additional information about the campground, please visit HoodooRecreation.com.","Per night, per site fee: $10/first vehicle; $5/each additional vehicle.  Group Site: $30.",4/20/2017 - 10/31/2017,Maximum site spur length is 26 feet.,No,Vault Toilet,Hoodoo Recreation Service,Located within the Bend/Sunriver/LaPine area on the Deschutes National Forest; operated by Hoodoo Recreation Services.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38308&actid=29,NA,NA,NA,NA,NA,NA,vault,no
Bull Bend Campground,43.72715,-121.63187,4300,12,"Reservations are not currently available for this site. For additional information about the site, please visit HoodooRecreation.com.","Per night, per site fee: $10/first vehicle; $5/each additional vehicle.",4/20/2017 - 10/31/2017,Maximum site spur length is 30 feet.,No,Vault Toilet,Hoodoo Recreation Service,Located within the Bend/Sunriver/LaPine area on the Deschutes National Forest; operated by Hoodoo Recreation Services.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38316&actid=29,Light,NA,NA,NA,NA,NA,vault,no
Fall River Campground,43.77311,-121.62064,4300,12,"Reservations are not currently available for this site. For additional information about the site, please visit HoodooRecreation.com.","Per night, per site fee: $10/first vehicle; $5/each additional vehicle.",4/20/2017 - 10/31/2017,Maximum site spur length is 30 feet.,No,Vault Toilet,Hoodoo Recreation Service,Located within the Bend/Sunriver/LaPine area on the Deschutes National Forest; operated by Hoodoo Recreation Services.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38356&actid=29,NA,NA,NA,NA,NA,NA,vault,no
McKay Crossing Campground,43.7157,-121.3774,4750,16,"Reservations can be made online through Recreation.gov or by calling toll free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). For additional information about the campground, please visit HoodooRecreation.com.","Per night, per site fee: $10/first vehicle; $5/each additional vehicle.",NA,Maximum site spur length is 26 feet.,No,Vault Toilet,Hoodoo Recreation Service,Located within the Bend/Sunriver/La Pine area on the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38410&actid=29,Light,NA,NA,NA,NA,NA,vault,no
Prairie Campground,43.72402,-121.42169,4300,17,"Reservations can be made online through Recreation.gov or by calling toll free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). For additional information about the campground, please visit HoodooRecreation.com.","Per night, per site fee: $14/first vehicle; $7/each additional vehicle.  Dump Station: $10.",5/11/2017 - 9/25/2017,Maximum site spur length is 30 feet.,Potable Water,Vault Toilet,Hoodoo Recreation Service,Located within the Bend/Sunriver/LaPine area of the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38470&actid=29,Light,NA,NA,NA,NA,NA,vault,potable water
Pringle Falls Campground,43.74551,-121.60229,4200,7,"Reservations are not currently available for this site. For additional information about the site, please visit HoodooRecreation.com.","Per night, per site fee: $10/first vehicle; $5/each additional vehicle.",4/20/2017 - 10/31/2017,Maximum site spur length is 26 feet.  Motorized boating is not permitted in the river.,No,Vault Toilet,Concessionaire,Located within the Bend/Sunriver/La Pine area of the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38472&actid=29,Light,NA,NA,NA,NA,NA,vault,no
Wyeth Campground,43.73784,-121.61692,4250,5,"Reservations are not currently available for this site. For additional information about the site, please visit HoodooRecreation.com.","Per night, per site fee: $10/first vehicle; $5/each additional vehicle.",4/20/2017 - 10/31/2017,Maximum site spur length is 26 feet.,No,Vault Toilet,Hoodoo Recreation Service,Located within Bend/Sunriver/La Pine area of the Deschutes National Forest; operated by Hoodoo Recreation Services.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38546&actid=29,NA,NA,NA,NA,NA,NA,vault,no
Big Cove Boat In Campgrounds,43.84702,-121.86557,4700,6,Reservations are not available for this site.,"Camping: Free
	Day Use: $5/vehicle/day at Cultus Lake Boating Site and Cultus Lake Picnic Site. Recreation passes may be used as a form of fee payment.",6/28/2017,NA,No,Composting Toilet,Hoodoo Recreation Service,Located within the Cascade Lakes area on the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38802&actid=29,Heavy,Toilets,"Bend, OR","Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age, or Golden Access.
	Day use: Recreation Passes may be used as a form of fee payment.",NA,NA,composting,no
Cow Meadow Campground,43.81318,-121.77862,4450,18,"Reservations are not currently available for this site. For additional information about the site, please visit HoodooRecreation.com.",Per night per site fee: $10/first vehicle; $5/each additional vehicle.,5/18/2017 - 9/10/2017,Maximum site spur length is 26 feet.,No,Vault Toilet,Hoodoo Recreation Services,Located within the Cascade Lakes area on the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38826&actid=29,Medium,"Boat ramp,Tent camping,Camping trailer,Picnic tables,Toilets,Parking",NA,NA,NA,NA,vault,no
Crane Prairie Campground,43.79689,-121.75783,4450,146,"Reservations can be made online through Recreation.gov or by calling toll free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777). For additional information about the campground, please visit HoodooRecreation.com.","Camping: $18/site/night; $9/each additional vehicle.  Multi-Site, $34 per night and $200 group.  
	Day use: $5/vehicle/day at Crane Prairie Boating Site.
NOTE: Holders of a Golden Age and Golden Access Passports and Senior and Access Passes are entitled to the following discounts on expanded amenity recreation fees: -  A 50 percent discount on the fee for a single camping unit. This discount does not apply to use of a cabin, lookout, double camping unit, triple camping unit, group camping unit, extra vehicle fees, or any additional camping units and separately charged utility, water, hook-up or day use fees.",5/4/2017 - 10/31/2017,Maximum site spur length is 30 feet.,Potable Water,Vault Toilet,Hoodoo Recreation Service,Located within the Cascade Lakes area on the Deschutes National Forest; operated by Hoodoo Recreation Service.,https://www.fs.usda.gov/recarea/deschutes/recreation/camping-cabins/recarea/?recid=38828&actid=29,Medium,"Interpretive Site,Accessible,Boat ramp,Tent camping,Camping trailer,Picnic tables,Toilets,Drinking  water,Parking",NA,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age, or Golden Access.
	Day use: Recreation Passes may be used as a form of fee payment.",NA,NA,vault,potable water
