name,lat,lon,elev,no_sites,Current Conditions,Reservations,Area Amenities,Fees,Open Season,Usage,Restrictions,Closest Towns,Water,Restroom,Passes,Operated By,Information Center,url,Operational Hours,Busiest Season,Permit Info,Best Season,restroom2,water2
Adams Fork,46.340045,-121.648708,2600,22,05/18/2018: Open,Reservations may be made at www.recreation.gov or calling 1-877-444-6777.,"Accessible,Tent camping,Camping trailer,Picnic tables,Toilets,Drinking  water","Camping: Single Site/,$16, Multi-Site:$30/$35/$45
	Extra Vehicle:$8


This site is operated by Hoodoo Recreation Services.",05/18/2018,Light,Maximum vehicle length 22' feet. No riding ORVs in camp. See local fishing regulations.,"Randle, WA; Packwood WA",Potable Water,Vault Toilet,"50% discount for single site camping fee with any of these passes: Interagency Senior, Interagency Access, Golden Age, or Golden Access.",Concessionaire,Cowlitz Valley Ranger District,https://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=31186&actid=29,NA,NA,NA,NA,vault,potable water
Big Creek,46.73604,-121.970311,1800,26,05/18/2018: Open,Reservations may be made at www.recreation.gov or by calling 1-877-444-6777.,"Accessible,Tent camping,Camping trailer,Picnic tables,Toilets,Drinking  water,Parking","Camping: Single Site/$18, Double Site/$30
	Extra Vehicle: $9


This site is operated by Hoodoo Recreation Services.",05/18/2018,Light-Medium,Maximum vehicle length 24-40 feet.,"Elbe, WA; Packwood, WA",Potable Water,Vault Toilet,"50% discount for single site camping fee with any of these passes: Interagency Senior, Interagency Access, Golden Age, or Golden Access.",Concessionaire,Cowlitz Valley Ranger District,https://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=31200&actid=29,NA,NA,NA,NA,vault,potable water
Blue Lake Creek,46.403182,-121.737431,1900,11,05/18/2018: Open,Reservations may be made at www.recreation.gov or calling 1-877-444-6777.,"Accessible,Tent camping,Camping trailer,Fee charged for some activities,Picnic tables,Toilets","Camping: Single Site/$12, Multi-Site/$30
	Extra Vehicle:$8


This site is operated by Hoodoo Recreation Services.",05/18/2018,Light-Medium,Maximum vehicle length is 20-30 feet.,"Randle, WA; Packwood WA",No potable water. Well for handpump is subject to surface water contamination. Water system inactive,Vault Toilet,"50% discount for single site camping fee with any of these passes: Interagency Senior, Interagency Access, Golden Age, or Golden Access.",Concessionaire,Cowlitz Valley Ranger District,https://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=31210&actid=29,NA,NA,NA,NA,vault,no
Horseshoe Lake,46.3087,-121.5666,4150,11,05/08/2018: Closed until late June. No gate. Primitive camping allowed.,"First come, first serve","Tent camping,Camping trailer,Picnic tables,Toilets","Camping: Single Site/$12
	Extra Vehicle:$6


This site is operated by Hoodoo Recreation Services.",NA,Light,"Maximum vehicle length is 16 feet.
	Electric motors only allowed on the lake.  Gas powered motors are not allowed on the lake.
	Wilderness regulations apply within Mt. Adams Wilderness.","Randle, WA; Packwood, WA",No,Vault Toilet ,"50% discount for single site camping fee with any of these passes: Interagency Senior, In",Forest Service,Cowlitz Valley Ranger District,https://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=31304&actid=29,NA,NA,NA,NA,vault,no
Iron Creek,46.427462,-121.985697,1083,80,05/08/2018: Planned opening date of 5/18/2018 but no water available until further notice.,Reservations may be made at www.recreation.gov or calling 1-877-444-6777.,"Accessible,Picnic tables,Toilets,Drinking  water","Camping: Single Site/$20, Multi-Site/$38
	Extra Vehicle: $10


This site is operated by Hoodoo Recreation Services.",05/18/2018,Light,Maximum vehicle length is 24-40 feet.,"Randle, WA; Packwood WA",Potable Water,Vault Toilet,"50% discount for single site camping fee with any of these passes: Interagency Senior, Interagency Access, Golden Age, or Golden Access.",Concessionaire,Cowlitz Valley Ranger District See also: Iron Creek Picnic Site,https://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=31306&actid=29,NA,NA,NA,NA,vault,potable water
Iron Creek Campground Loop,NA,NA,1200,NA,05/08/2018: Open,NA,NA,NA,NA,NA,"Closed to horse, bicycle and all motorized use.","Randle, WA; Packwood, WA",NA,NA,NA,Forest Service,Cowlitz Valley Ranger District,http://www.fs.usda.gov/recarea/giffordpinchot/recarea/?recid=31308,NA,NA,NA,NA,NA,NA
Killen Creek,46.293413,-121.548325,4449,9,05/08/2018: Closed until late June. No gate. Primitive camping allowed,"First come, first serve",NA,"Camping: $12/night 

Check with Hoodoo Recreation Services for current information.",NA,Light,"Maximum vehicle length is 22 feet.
	Wilderness restrictions apply within nearby Mt. Adams Wilderness.","Randle, WA; Packwood, WA; Trout Lake, WA",No,2,"50% discount for single site camping fee with any of these passes: Interagency Senior, Interagency Access, Golden Age, or Golden Access.",Concessionaire,Cowlitz Valley Ranger District,https://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=31332&actid=29,NA,NA,NA,NA,2,no
La Wis Wis,46.677323,-121.576059,1243,90,05/08/2018: Planned opening date of 5/24/2018.,Reservations may be made at www.recreation.gov or calling 1-877-444-6777.,NA,"Camping: Single Site/$20, Multi Site/$38, Group/$90, Extra Vehicle/$10
	Day Use Fee: $5/vehicle


This site is operated by Hoodoo Recreation Services.",05/24/2018,Medium-Heavy,"14 day stay limit.
	Maximum vehicle length is 18-40 feet.
	Selective fishing gear rules apply.  See Washington Department of Fish and Wildlife Sport Fishing Rules for more information.","Randle, WA; Packwood, WA",Potable Water,Vault ,"50% discount for single site camping fee, or day use fee, with any of these passes: Interagency Senior, Interagency Access, Golden Age, or Golden Access.",Concessionaire,Cowlitz Valley Ranger District,https://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=31342&actid=29,Normally open: Early June through Labor Day Weekend (Weather permitting). Closed during the winter.,NA,NA,NA,vault,potable water
Coho Group Camp,46.6775,-121.57638,1243,NA,05/08/2018: Planned opening date of 5/24/2018.,Reservations can be made at recreation.gov.,NA,"$90/night


This site is operated by Hoodoo Recreation Services.",05/24/2018,NA,Maximum vehicle length is 24 feet.,"Randle, WA; Packwood, WA",Potable Water,Vault ,NA,NA,Cowlitz Valley Ranger District,https://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=32056&actid=29,NA,NA,NA,NA,vault,potable water
North Fork,46.450452,-121.787467,1543,32,05/18/2018: Open but  no water available until further notice.  A portion of the campground has been decommissioned due to hazards posed by phellinus infection in trees in the area. Reservations through recreation.gov,Reservations may be made at www.recreation.gov or by calling 1-877-444-6777.,NA,"Camping: Single Site/$18, Multi-Site/$34,
	Group Campground: $75/$100
	Extra Vehicle:$9
This site is operated by Hoodoo Recreation Services.",05/18/2018,Light,Maximum vehicle length is 32 feet.,"Randle, WA; Packwood WA",Potable Water,Vault ,"50% discount for single site camping fee with any of these passes: Interagency Senior, Interagency Access, Golden Age, or Golden Access.",Concessionaire,Cowlitz Valley Ranger District,https://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=31366&actid=29,NA,NA,NA,NA,vault,potable water
Olallie Lake,46.290757,-121.622232,4252,5,05/08/2018: Closed until late June. No gate. Primitive camping allowed,"First come, first serve",NA,"Camping: Single Site/$12
	Extra Vehicle: $6


This site is operated by Hoodoo Recreation Services.",NA,Light,Maximum vehicle length is 22 feet.,"Randle, WA; Packwood, WA",No,Vault ,NA,Concessionaire,Cowlitz Valley Ranger District,https://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=31370&actid=29,NA,NA,NA,NA,vault,no
Soda Spring,46.704427,-121.482146,NA,NA,05/08/2018: Closed.,"First come, first serve",NA,No fee,NA,Light,"Horses prohibited in campground
	14-day stay limit","Packwood, WA",No Potable Water,Double Vault Toilet ,NA,Forest Service,Cowlitz Valley Ranger District,https://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=81578&actid=29,NA,NA,NA,NA,double vault,no
Summit,46.709919,-121.537966,NA,NA,05/08/2018: Closed.,"First come, first serve",NA,No fee,NA,Light,"Maximum vehicle/combination length is 20-30’ feet for main area; Unit 6 spur is 40’ and may be suitable for short trailer. 
	Horses prohibited in campground
	14-day stay limit","Packwood, WA",No Potable Water,Double Vault Toilet ,NA,Forest Service,Cowlitz Valley Ranger District,https://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=81579&actid=29,NA,NA,NA,NA,double vault,no
