name,lat,lon,elev,no_sites,Current Conditions,Reservations,Fees,Open Season,Usage,Restrictions,Closest Towns,Water,Restroom,url,Passes,Operated By,Information Center,Permit Info,Operational Hours,Area Amenities,Best Season,restroom2,water2
Badger Lake Campground,45.30496,-121.55537,4400,4,11/15/2017: CLOSED. Expect snow on the road and in the campground.,No reservations,Free,June,Light,Wilderness regulations apply. Motorized boats are prohibited in Badger Lake.,"Wamic, OR",No,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52784&actid=29,NA,NA,NA,NA,NA,NA,NA,vault,no
Bear Springs Group Campground,45.11665,-121.53091,3200,NA,"Open for the season, no services are provided - you must pack in/pack out.",This site can be reserved by calling Toll Free 1-877-444-6777 (International 518-885-3639 or TDD 877-833-6777) OR online at http://www.recreation.gov/,"Camping:

	$17/night for single site, $8/extra vehicle
		$51-$76/night for group site
	
	Day Use: $5/day/vehicle","May 18, 2018 - Sep 30, 2018",Medium,NA,"Maupin, OR",Potable Water,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52786&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day Use: Recreation passes may be used as a form of fee payment.",Concessionaire,"Barlow Ranger District, Dufur Ranger StationRecreation.gov",NA,NA,NA,NA,vault,potable water
Bonney Crossing Campground,45.257,-121.39205,2200,6,Will open on May 25 for the 2018 season.,No reservations,"Camping: $12/night for single unit, $5/night for extra vehicle
	Day use: $5/day/vehicle","May 25, 2018",Medium,"Vehicles 16 ft. max. All mechanized vehicles prohibited in the wilderness, including game carts and mountain bikes.","Wamic, OR",No,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52790&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,Barlow Ranger District,NA,NA,NA,NA,vault,no
Bonney Meadow Campground,45.26548,-121.58286,4800,6,"Closed for the season. The road is primitive and rough, high clearance vehicles are recommended.",No reservations,Free,June,Light,Vehicles 16 ft. max,"Maupin, OR",No,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52792&actid=29,NA,Concessionaire,NA,NA,NA,NA,NA,vault,no
Clear Creek Crossing Campground,45.14641,-121.58593,3600,7,"Closed for the season, no services are provided - you must pack in/pack out",No reservations,"Camping: $12/night for single site, $8/extra vehicle
	Day use: $5/day/vehicle","May 25, 2018 - Sep 09, 2018",Light-Medium,Vehicles 16 ft. max,"Pine Grove, OR",No,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52800&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day Use: Recreation passes may be used as a form of fee payment.",Concessionaire,NA,NA,NA,NA,NA,vault,no
Eightmile Campground,45.40625,-121.45793,4200,21,NA,No reservations,"Camping: $12/night for single site, $8/extra vehicle
	Day use: $5/day/vehicle","May 15, 2018 - Oct. 15, 2018",Medium,Vehicles 30 ft. max,"Dufur, OR",No,Vault Toilet  ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52806&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,NA,NA,NA,NA,NA,vault,no
Fifteenmile Campground,45.3505,-121.4729,4e3,3,11/15/2017 Expect snow at the campground and on the access roads.  No services provided.,No reservations,Free,06/01,Light,"Vehicles 16 ft. max. All mechanized vehicles prohibited in the wilderness, including game carts and mountain bikes.","Dufur, OR",No,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52812&actid=29,NA,Forest Service,NA,NA,NA,NA,NA,vault,no
Forest Creek Campground,45.17979,-121.52461,3e3,8,"Closed for the season, no services are provided - you must pack in/pack out. Seasonal road closure in effect from December 1st to April 1st",No reservations,"Camping: $12/night for single site, $8/night for extra vehicle
	Day use: $5/day/vehicle","May 25, 2018 - Sep 03, 2018",Light,Vehicles 16 ft. max.,"Wamic, OR",No,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52818&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,NA,NA,NA,NA,NA,vault,no
Keeps Mill Campground,45.15395,-121.5204,2600,5,"Open on a first come, first serve basis.  Primitive road requires high clearance vehicles.",No reservations,Free camping.,June,Light,Check Oregon fishing regulations for specific restrictions on fishing the White River.,"Maupin, OR",No,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52824&actid=29,NA,Concessionaire,NA,NA,NA,NA,NA,vault,no
Knebal Springs Campground,45.43583,-121.48022022,4e3,8,NA,No reservations,"Camping: $12/night for single unit, $8/night for extra vehicle
	Day use: $5/day/vehicle","May 15, 2018 - Oct. 15, 2018",Light,Vehicles 22 ft. max.,"Dufur, OR",No,Vault Toilet ,https://www.fs.usda.gov/recarea/mthood/recreation/camping-cabins/recarea/?recid=52826&actid=29,"Camping: 50% discount for single site camping with any of these passes: Interagency Senior, Interagency Access, Golden Age or Golden Access.
	Day use: Recreation passes may be used as a form of fee payment.",Concessionaire,NA,NA,NA,NA,NA,vault,no
