name,lat,lon,elev,no_sites,Current Conditions,Fees,Open Season,Usage,Restrictions,Water,Restroom,Operated By,Information Center,url,Reservations,Passes,Closest Towns,Permit Info,Busiest Season,Best Season,restroom2,water2
Baker Beach Campground,44.087483,-124.11836,NA,NA,Open year round. Snowy Plover restrictions in place March 15 - September 15,$13/Night for single unit; $7 extra vehicle,Year Round,Medium,Camping RegulationsWeed Free Feed Required,No,Vault Toilet ,American Land & Leisure,Central Coast Ranger District  ~ Waldport or Reedsport Offices,https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42341&actid=29,NA,NA,NA,NA,NA,NA,vault,no
Carter Lake Campground,43.8583365,-124.1453362,NA,NA,"Campground open through September 30, 2018. 

Snowy Plover restrictions in place March 15 - September 15","Camping: $22 per night for single unit, two vehicle limitDay use: $5/Day/Vehicle",5/1/2018 - 9/30/2018,Light,Camping Regulations,Potable Water,Flush Toilet,Siuslaw National Forest,Oregon Dunes National Recreation Area Visitor Center,https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42519&actid=29,Reserve online at www.recreation.gov or phone 877.444.6777.,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,NA,NA,NA,NA,flush,potable water
Lagoon Campground,43.879545,-124.142191,NA,NA,Open year round. Snowy Plover restrictions in place March 15 - September 15,"$22 per night for single unit, two vehicle limit",Year Round,Light,Camping Regulations,Potable water,Flush toilets,Siuslaw National Forest,Oregon Dunes National Recreation Area Visitor Center,https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42557&actid=29,"Reserve online at www.recreation.gov or phone 1.877.444.6777. From October 1, 2017 to April 30, 2018 all sites are first-come first-serve.",NA,NA,NA,NA,NA,flush,potable water
Tyee Campground,43.8832701,-124.121985,NA,14,Campground open. As of October 1 sites 1-9 are available for camping. Sites 10-15 are day use only.,"Camping: $22 per night for single unit, two vehicle limitDay use: $5/Day/Vehicle or valid recreation pass.",NA,Light,Camping Regulations,Potable Water,Vault Toilet,Siuslaw National Forest,Oregon Dunes National Recreation Area Visitor Center,https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42511&actid=29,"Reserve online at www.recreation.gov or phone 1.877.444.6777. From October 1, 2017 to April 30, 2016 all sites are first-come first-serve.",Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,"Florence, OR",NA,NA,NA,vault,potable water
Waxmyrtle Campground,43.87511742,-124.1437681,NA,NA,"Campground open through September 30, 2018

Snowy Plover restrictions in place March 15 - September 15","$22 per night for single unit, two vehicle limit",5/1/2018 - 9/30/2018,Medium,Camping Regulations,Potable water,Flush toilets,Siuslaw National Forest,Oregon Dunes National Recreation Area Visitor Center,https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42563&actid=29,Reserve online at www.recreation.gov or phone 1.877.444.6777.,NA,"Florence, OR",NA,NA,NA,flush,potable water
Horsfall Beach Campground,43.441305,-124.24584,NA,NA,Open year round.,"$25 per night for single unit, two vehicle limit, which does not include towed vehicles.",Year Round,Heavy,Camping RegulationsAlcohol ban in OHV riding areasOHV Rules for Riding,No water hookups availble but Potable Water,Flush Toilet / Showers,Siuslaw National Forest,Oregon Dunes National Recreation Area Visitor Center,https://www.fs.usda.gov/recarea/siuslaw/recreation/recarea/?recid=42629,Reserve online at www.recreation.gov or phone 877.444.6777.,NA,"North Bend, OR
Reedsport, OR",State of Oregon OHV permit required for riding.,NA,NA,flush  / showers,no
Wild Mare Campground,43.451826,-124.269195,NA,12,Snowy Plover restrictions in place March 15 - September 15,"$22 per night for single unit, two vehicle limit",Year Round,Heavy,"Camping Regulations
	Weed Free Feed Required",Yes,Vault Toilet,Siuslaw National Forest,Oregon Dunes National Recreation Area Visitor Center,https://www.fs.usda.gov/recarea/siuslaw/recreation/recarea/?recid=42643,Reserve online at www.recreation.gov or phone 1.877.444.6777.,NA,"Reedsport, OR
Coos Bay/North Bend, OR",NA,NA,NA,vault,yes
Bluebill Campground,43.450606,-124.262427,NA,NA,"Campground open through December 31, 2018. Walk-in only (no reservations) from October 1-December 31.

Snowy Plover restrictions in place March 15 - September 15","$22 per night for single unit, two vehicle limit",5/1/2018 - 12/31/2018,Light,Camping Regulations,Potable Water,Vault Toilet,Siuslaw National Forest,Oregon Dunes National Recreation Area Visitor Center,https://www.fs.usda.gov/recarea/siuslaw/recreation/recarea/?recid=42647,Reserve online at www.recreation.gov or phone 1.877.444.6777.,NA,"North Bend, OR",NA,NA,NA,vault,potable water
Bluebill Campground,43.450606,-124.262427,NA,NA,"Campground open through December 31, 2018. Walk-in only (no reservations) from October 1-December 31.

Snowy Plover restrictions in place March 15 - September 15","$22 per night for single unit, two vehicle limit",5/1/2018 - 12/31/2018,Light,Camping Regulations,Potable Water,Vault Toilet,Siuslaw National Forest,Oregon Dunes National Recreation Area Visitor Center,https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42647&actid=29,Reserve online at www.recreation.gov or phone 1.877.444.6777.,NA,"North Bend, OR",NA,NA,NA,vault,potable water
Wild Mare Campground,43.451826,-124.269195,NA,12,Snowy Plover restrictions in place March 15 - September 15,"$22 per night for single unit, two vehicle limit",Year Round,Heavy,"Camping Regulations
	Weed Free Feed Required",Yes,Vault Toilet,Siuslaw National Forest,Oregon Dunes National Recreation Area Visitor Center,https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42643&actid=29,Reserve online at www.recreation.gov or phone 1.877.444.6777.,NA,"Reedsport, OR
Coos Bay/North Bend, OR",NA,NA,NA,vault,yes
Sutton Campground,44.054315,-124.108142,NA,NA,Open year round. Snowy Plover restrictions in place March 15 - September 15,"Camping: $24/Night for single unit; $7/Night extra vehicle, $29/Night for electric hookup sites. Site discounts apply only to basic service, not electricGroup camping: $95/Night group tent site (no RV), 1 - 30 people, $145/Night Group Loop C, 1 - 100 people, $200/Night Group Loop D, 1 - 100 peopleDay use: $6/Day/Vehicle",Year Round,NA,Camping Regulations,Potable Water,Flush Toilet,American Land & Leisure,"Campground: 541-997-2715 (A/B), 541-997-2724 (C/D)Oregon Dunes Visitor Center
855 Highway 101
Reedsport, Oregon 97467
541-271-3611Central Coast Ranger District
1130 Forestry Lane
Waldport, Oregon 97394
541-563-8400",https://www.fs.usda.gov/recarea/siuslaw/recreation/camping-cabins/recarea/?recid=42427&actid=29,Reserve online at www.recreation.gov or phone 1.877.444.6777.,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,NA,NA,NA,NA,flush,potable water
