name,lat,lon,elev,no_sites,Current Conditions,Reservations,Area Amenities,Fees,Open Season,Usage,Best Season,Busiest Season,Restrictions,Closest Towns,Water,Restroom,Passes,Operated By,Information Center,url,Permit Info,Operational Hours,restroom2,water2
Breitenbush Campground,44.78140394512477,-121.9914767198281,2100,NA,"Detroit Ranger District: Campground is currently closed. Opens May 25, 2018",Reserve online at www.recreation.gov or phone 1.877.444.6777.,"Tent camping,Camping trailer,Picnic tables,Toilets,Drinking  water","Single Campsites - $18 per night
	Multiple Campsites - $33 per night
	Extra Vehicles - $8 per vehicle, per night
	Day Use - $8 per vehicle, per day


Campsite must be occupied every night paid.",5/25/2018 - 9/16/2018,Heavy,September,July-August,"Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground","Detroit, Oregon (9.3 miles)",Yes,Vault Toilets ,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,American Land & Leisure,"Detroit Ranger District
44125 North Santiam Highway SE
Detroit, OR 97342
503-854-3366",https://www.fs.usda.gov/recarea/willamette/recreation/recarea/?recid=4214,NA,NA,vault,yes
Shady Cove Campground,44.84615842615614,-122.2991244655183,1500,NA,"Detroit Ranger District: Campground open year round, weather dependent.",NA,"Tent camping,Camping trailer,Picnic tables,Toilets","Single Campsites - $8 per night
	Multiple Campsites - $16 per night
	Extra Vehicles - $5 per vehicle, per night


A $5 per vehicle, per day fee or valid recreation pass is required for the Little North Santiam Trail #3338 (located across the bridge from campground). Please use fee tube located at Shady Cove Campground","Year Round, weather dependent",Medium-Heavy,September,July - August,"Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground
	ATVs use is only allowed to enter and leave the campground
	Target shooting is prohibited within the Opal Creek Scenic Recreation Area
Special regulations are in place to help protect this area and preserve the experience for you and for future visitors.","Gates, Oregon (11.7 miles)
	Mill City, Oregon (15.1 miles)
	Mehama, Oregon (18.5 miles)",None,Vault Toilets ,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,Willamette National Forest,"Detroit Ranger District
44125 North Santiam Highway SE
Detroit, OR 97342
503-854-3366",https://www.fs.usda.gov/recarea/willamette/recreation/recarea/?recid=4226,NA,NA,vault,no
Elk Lake Campground,44.82242816969159,-122.1278174946129,3700,NA,"Detroit Ranger District: Campground open year round, weather dependent. 4/17/2018: Campground is inaccessible due to packed snow and ice on the road.",NA,Boat ramp,"Single Campsites - $10 per night
	Multiple Campsites - $20 per night
	Extra Vehicles - $5 per vehicle, per night


Campsite must be occupied every night paid.","Year Round, weather dependent",Heavy,September,July - August,"Special regulations are in place to help protect this area and preserve the experience for you and for future visitors including: 

No camping within 500 feet of Elk Lake.
	No motorized boating
	ATVs use is only allowed to enter and leave the campground
	Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground","Detroit, Oregon (12.1 miles)",No,Vault Toilets ,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,Willamette National Forest,"Detroit Ranger District
44125 North Santiam Highway SE
Detroit, OR 97342
503-854-3366",https://www.fs.usda.gov/recarea/willamette/recreation/recarea/?recid=4218,NA,NA,vault,no
Breitenbush Campground,44.78140394512477,-121.9914767198281,2100,NA,"Detroit Ranger District: Campground is currently closed. Opens May 25, 2018",Reserve online at www.recreation.gov or phone 1.877.444.6777.,"Tent camping,Camping trailer,Picnic tables,Toilets,Drinking  water","Single Campsites - $18 per night
	Multiple Campsites - $33 per night
	Extra Vehicles - $8 per vehicle, per night
	Day Use - $8 per vehicle, per day


Campsite must be occupied every night paid.",5/25/2018 - 9/16/2018,Heavy,September,July-August,"Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground","Detroit, Oregon (9.3 miles)",Yes,Vault Toilets ,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,American Land & Leisure,"Detroit Ranger District
44125 North Santiam Highway SE
Detroit, OR 97342
503-854-3366",https://www.fs.usda.gov/recarea/willamette/recreation/camping-cabins/recarea/?recid=4214&actid=29,NA,NA,vault,yes
Cove Creek Campground,44.70854614563485,-122.1598943815692,1600,NA,"Detroit Ranger District: Campground is currently open. Closes September 16, 2018",Reserve online at www.recreation.gov or phone 1.877.444.6777,"Boat ramp,Tent camping,Camping trailer,Picnic tables,Toilets,Drinking  water","Single Campsites - $24 per night
	Multiple Campsites - $44 per night
	Extra Vehicles - $8 per vehicle, per night
	Day Use - $8 per vehicle, per day",5/11/2018 - 9/16/2018,Heavy,September,June-August,"14 day limit
	Check-in time is 2:00 pm or later. Check-out time is 1:00 pm.
	Campsite must be occupied every night paid.
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground


See special regulations for the area, including dispersed camping restrictions.","Idanha, Oregon (5.3 miles)
	Detroit, Oregon (6.3 miles)","Yes, faucet",Flush ,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,American Land & Leisure,"Detroit Ranger District
44125 North Santiam Highway SE
Detroit, OR 97342
503-854-3366",https://www.fs.usda.gov/recarea/willamette/recreation/camping-cabins/recarea/?recid=4216&actid=29,NA,NA,flush,"yes, faucet"
Hoover Campground,44.71197327351912,-122.1231398027518,1600,NA,"Detroit Ranger District: Campground is currently open. Closes September 15, 2018",Reserve online at www.recreation.gov or phone 1.877.444.6777.,"Boat ramp,Tent camping,Camping trailer,Picnic tables,Toilets,Drinking  water,Parking","Single Campsites - $24 per night
	Multiple Campsites - $44 per night
	Extra Vehicles - $8 per vehicle, per night
	Day Use - $8 per vehicle, per day


Campsite must be occupied every night paid",5/4/2018 - 9/15/2018,Medium,September,June-August,"Check-in time is 2:00 pm or later. Check-out time is 1:00 pm.
	14 day stay limit
	Use of chainsaws in campground is prohibited
	Dogs MUST be on a leash at all times within the campground


See special regulations for the area, including dispersed camping restrictions.","Idanha, Oregon (2.7 miles)
Detroit, Oregon (3.7 miles)","Yes, Faucet",Vault Toilet ,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,American Land & Leisure,"Detroit Ranger District
44125 North Santiam Highway SE
Detroit, OR 97342
503-854-3366",https://www.fs.usda.gov/recarea/willamette/recreation/camping-cabins/recarea/?recid=4219&actid=29,NA,NA,vault,"yes, faucet"
Piety Island Campground,44.7214232,-122.1603749,1600,NA,"Detroit Ranger District: Campground is open year round, weather and lake level dependent",NA,"Tent camping,Picnic tables,Toilets","Single Campsites - $10 per night
	Multiple Campsites - $20 per night


Campsite must be occupied every night paid.","open year round, weather and lake level dependent",Medium,August,June - August,"Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground
	Please do not tie boats up to live vegetation","Detroit, Oregon",None,Vault Toilets ,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,Willamette National Forest,"Detroit Ranger District
44125 North Santiam Highway SE
Detroit, OR 97342
503-854-3366",https://www.fs.usda.gov/recarea/willamette/recreation/camping-cabins/recarea/?recid=4223&actid=29,,NA,vault,no
Santiam Flats Campground,44.70997495661844,-122.1105871496019,1600,NA,"Detroit Ranger District: Campground is currently open. Closes September 21, 2018",Reserve online at www.recreation.gov or phone 1.877.444.6777.,"Tent camping,Camping trailer,Picnic tables,Toilets,Drinking  water","Single Campsites - $18 per night
	Multiple Campsites - $33 per night
	Extra Vehicles - $8 per vehicle, per night
	Day Use - $8 per vehicle, per day


Campsite must be occupied every night paid",5/4/2018 - 9/21/2018,Medium,NA,June-August,"14 day stay limit
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Maximum trailer length 30 feet
	Use of chainsaws in campground is prohibited
	Dogs MUST be on a leash at all times within the campground 


See special regulations for the area, including dispersed camping restrictions.","Idanha, Oregon
	Detroit, Oregon (2.6 miles)",Faucet,Vault Toilets ,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,American Land & Leisure,"Detroit Ranger District
44125 North Santiam Highway SE
Detroit, OR 97342
503-854-3366",https://www.fs.usda.gov/recarea/willamette/recreation/camping-cabins/recarea/?recid=4225&actid=29,NA,NA,vault,faucet
Southshore Campground,44.7054,-122.17619,1600,NA,"Detroit Ranger District: Campground is currently closed. Opens May 25, 2018",Reserve online at www.recreation.gov or phone 1.877.444.6777.,"Boat ramp,Tent camping,Camping trailer,Picnic tables,Toilets,Drinking  water,Parking","Single Campsites - $22 per night
	Multiple Campsites - $42 per night
	Extra Vehicles - $8 per vehicle, per night
	Day Use - $8 per vehicle, per day


Campsite must be occupied every night paid",5/25/2018 - 9/9/2018,Medium,August,June-August,"Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground 
Special regulations are in place to help protect this area and preserve the experience for you and for future visitors, including dispersed camping restrictions.","Idanha, Oregon (6.3 miles)
Detroit, Oregon (7.4 miles)",Drinking Water,Vault Toilets ,"Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual, single occupancy campsites. This discount does not apply to extra vehicle fee or multiple campsites.",NA,"Detroit Ranger District
44125 North Santiam Highway SE
Detroit, OR 97342
503-854-3366",https://www.fs.usda.gov/recarea/willamette/recreation/camping-cabins/recarea/?recid=4227&actid=29,NA,NA,vault,drinking water
Elk Lake Campground,44.82242816969159,-122.1278174946129,3700,NA,"Detroit Ranger District: Campground open year round, weather dependent. 4/17/2018: Campground is inaccessible due to packed snow and ice on the road.",NA,Boat ramp,"Single Campsites - $10 per night
	Multiple Campsites - $20 per night
	Extra Vehicles - $5 per vehicle, per night


Campsite must be occupied every night paid.","Year Round, weather dependent",Heavy,September,July - August,"Special regulations are in place to help protect this area and preserve the experience for you and for future visitors including: 

No camping within 500 feet of Elk Lake.
	No motorized boating
	ATVs use is only allowed to enter and leave the campground
	Camping is not allowed more than 14 days in a 60 day period.
	Check-in time: 2:00 pm or later. Check-out time: 1:00 pm 
	Use of chainsaws in the campground is prohibited
	Dogs MUST be on leash at all times within the campground","Detroit, Oregon (12.1 miles)",No,Vault Toilets ,Interagency Senior and Access Passes (and the Golden Age and Access Passes) may receive a 50% discount on the use fee for individual campsites. This discount does not apply to extra vehicle fee or multiple campsites.,Willamette National Forest,"Detroit Ranger District
44125 North Santiam Highway SE
Detroit, OR 97342
503-854-3366",https://www.fs.usda.gov/recarea/willamette/recreation/camping-cabins/recarea/?recid=4218&actid=29,NA,NA,vault,no
